Name,FIPS,"% Asian Population, 2017","% Black Population, 2017","% White Population, 2017","% Hispanic Population, 2017","% White Non-Hispanic Population, 2017","# Population, 2017","% Population, 18 to 24 Years, 2017","Median Household Income, 2017","% Education Attainment, Bachelor's Degree, 2017"
"85012, Phoenix, AZ",85012,3.2798,6.2247,75.7292,18.8555,65.485,7165,8.2205,64645,26.1561
"85361, Wittmann, AZ",85361,1.1757,1.2228,79.2287,24.0947,68.1141,6379,6.49,49691,12.3369
"85004, Phoenix, AZ",85004,2.4009,11.5211,61.1505,34.3055,45.0854,6206,26.5549,38311,17.3162
"85054, Phoenix, AZ",85054,5.9704,3.3546,84.9241,7.528,79.6126,5008,8.3067,89699,35.332
"85363, Youngtown, AZ",85363,2.1447,4.1491,70.1744,35.2977,53.8585,4989,6.4141,40533,10.437
"85256, Scottsdale, AZ",85256,0.4851,0.3797,20.4176,14.6383,18.3506,4741,9.2386,33954,7.9144
"85147, Sacaton, AZ",85147,0.3908,2.6136,41.5975,24.0107,31.0454,4094,10.8696,48689,9.0229
"85263, Rio Verde, AZ",85263,0.9544,0.7777,96.2531,2.5097,94.5917,2829,1.9088,135227,38.2101
"85324, Black Canyon City, AZ",85324,0.435,0.3559,92.8035,7.157,88.9284,2529,4.2705,46701,14.0376
"85342, Morristown, AZ",85342,0.8237,0.6178,84.3904,17.4629,76.318,2428,5.9308,47905,16.2644
"85309, Glendale Luke Afb, AZ",85309,5.4259,15.6359,69.3116,11.6103,61.0852,1714,91.5986,90938,35.7664
"85377, Carefree, AZ",85377,0.4602,0.1972,89.4149,13.8725,81.3938,1521,6.5746,33103,14.4366
"85264, Fort Mcdowell, AZ",85264,0.3197,0.2398,15.2678,16.5468,13.8289,1251,9.1926,48333,12.5512
"85343, Palo Verde, AZ",85343,0,0.7126,58.9074,44.6556,47.981,421,7.8385,44583,10.687
"86343, Crown King, AZ",86343,0.241,0.241,93.7349,7.4699,89.3976,415,4.8193,41818,14.4509
"85121, Bapchule, AZ",85121,0.5882,0.5882,89.7059,18.2353,79.1176,340,4.4118,54839,6.9498
